Titulo1=  Dados detalhados das AIH - por local internação - Brasil
Titulo2=Quantidade aprovada por Grupo procedimento segundo Município
Rodape=Período:Set/2008
Nomemapa=c:\tabwin\br_municip.map
"Município";"02 Procedimentos com finalidade diagnóstica";"03 Procedimentos clínicos";"04 Procedimentos cirúrgicos";"05 Transplantes de orgãos, tecidos e células";"06 Medicamentos";"07 Órteses, próteses e materiais especiais";"08 Ações complementares da atenção à saúde";"Total"
" MUNICIPIO IGNORADO - RO";0;0;0;0;0;0;0;0
"110001 ALTA FLORESTA D'OESTE";64;247;13;0;0;0;180;504
"110002 ARIQUEMES";411;657;140;0;0;0;44;1252
"110003 CABIXI";0;0;0;0;0;0;0;0
"110004 CACOAL";124;370;123;0;1;0;78;696
"110005 CEREJEIRAS";210;515;7;0;0;0;18;750
"110006 COLORADO DO OESTE";148;453;0;0;0;0;0;601
"110007 CORUMBIARA";0;0;0;0;0;0;0;0
"110008 COSTA MARQUES";62;208;6;0;0;0;0;276
"110009 ESPIGAO D'OESTE";221;157;38;0;0;0;60;476
"110010 GUAJARA-MIRIM";0;0;0;0;0;0;0;0
"110011 JARU";617;794;49;0;1;0;17;1478
"110012 JI-PARANA";2004;881;226;0;1;0;798;3910
"110013 MACHADINHO D'OESTE";1032;2403;62;0;0;0;142;3639
"110014 NOVA BRASILANDIA D'OESTE";38;85;44;0;0;0;38;205
"110015 OURO PRETO DO OESTE";80;97;23;0;0;0;0;200
"110018 PIMENTA BUENO";171;220;14;0;0;0;356;761
"110020 PORTO VELHO";10691;14741;676;0;30;42;4000;30180
"110025 PRESIDENTE MEDICI";244;208;19;0;0;0;193;664
"110026 RIO CRESPO";0;0;0;0;0;0;0;0
"110028 ROLIM DE MOURA";2808;727;481;0;0;0;483;4499
"110029 SANTA LUZIA D'OESTE";159;61;3;0;0;0;11;234
"110030 VILHENA";2324;706;161;0;0;0;1944;5135
"110032 SAO MIGUEL DO GUAPORE";79;65;23;0;0;0;0;167
"110033 NOVA MAMORE";164;198;13;0;0;0;0;375
"110034 ALVORADA D'OESTE";0;0;0;0;0;0;0;0
"110037 ALTO ALEGRE DOS PARECIS";0;0;0;0;0;0;0;0
"110040 ALTO PARAISO";0;0;0;0;0;0;0;0
"110045 BURITIS";0;0;0;0;0;0;0;0
"110050 NOVO HORIZONTE DO OESTE";0;45;0;0;0;0;0;45
"110060 CACAULANDIA";0;0;0;0;0;0;0;0
"110070 CAMPO NOVO DE RONDONIA";0;0;0;0;0;0;0;0
"110080 CANDEIAS DO JAMARI";0;0;0;0;0;0;0;0
"110090 CASTANHEIRAS";0;0;0;0;0;0;0;0
"110092 CHUPINGUAIA";0;0;0;0;0;0;0;0
"110094 CUJUBIM";0;0;0;0;0;0;0;0
"110100 GOVERNADOR JORGE TEIXEIRA";153;200;9;0;0;0;0;362
"110110 ITAPUA DO OESTE";0;0;0;0;0;0;0;0
"110120 MINISTRO ANDREAZZA";0;35;0;0;0;0;0;35
"110130 MIRANTE DA SERRA";23;76;6;0;0;0;17;122
"110140 MONTE NEGRO";1027;1766;29;0;0;0;0;2822
"110143 NOVA UNIAO";0;0;0;0;0;0;0;0
"110145 PARECIS";0;0;0;0;0;0;0;0
"110146 PIMENTEIRAS DO OESTE";0;0;0;0;0;0;0;0
"110147 PRIMAVERA DE RONDONIA";0;0;0;0;0;0;0;0
"110148 SAO FELIPE D'OESTE";0;0;0;0;0;0;0;0
"110149 SAO FRANCISCO DO GUAPORE";26;297;2;0;0;0;0;325
"110150 SERINGUEIRAS";32;272;14;0;0;0;0;318
"110155 TEIXEIROPOLIS";0;0;0;0;0;0;0;0
"110160 THEOBROMA";0;0;0;0;0;0;0;0
"110170 URUPA";0;0;0;0;0;0;0;0
"110175 VALE DO ANARI";0;0;0;0;0;0;0;0
"110180 VALE DO PARAISO";0;0;0;0;0;0;0;0
" MUNICIPIO IGNORADO - AC";0;0;0;0;0;0;0;0
"120001 ACRELANDIA";0;54;0;0;0;0;0;54
"120005 ASSIS BRASIL";155;58;0;0;0;0;9;222
"120010 BRASILEIA";487;319;46;0;0;0;409;1261
"120013 BUJARI";0;0;0;0;0;0;0;0
"120017 CAPIXABA";0;0;0;0;0;0;0;0
"120020 CRUZEIRO DO SUL";4420;2787;358;0;79;54;1342;9040
"120025 EPITACIOLANDIA";0;0;0;0;0;0;0;0
"120030 FEIJO";197;115;39;0;0;0;295;646
"120032 JORDAO";0;0;0;0;0;0;0;0
"120033 MANCIO LIMA";31;32;0;0;0;0;51;114
"120034 MANOEL URBANO";7;85;0;0;0;0;12;104
"120035 MARECHAL THAUMATURGO";0;0;0;0;0;0;0;0
"120038 PLACIDO DE CASTRO";76;144;0;0;0;0;9;229
"120039 PORTO WALTER";0;0;0;0;0;0;0;0
"120040 RIO BRANCO";22346;16612;1746;0;241;215;6175;47335
"120042 RODRIGUES ALVES";0;33;0;0;0;0;16;49
"120043 SANTA ROSA DO PURUS";0;0;0;0;0;0;0;0
"120045 SENADOR GUIOMARD";148;280;0;0;0;0;161;589
"120050 SENA MADUREIRA";441;229;42;0;0;0;546;1258
"120060 TARAUACA";567;131;31;0;0;0;68;797
"120070 XAPURI";37;389;2;0;0;0;113;541
"120080 PORTO ACRE";0;0;0;0;0;0;0;0
" MUNICIPIO IGNORADO - AM";0;0;0;0;0;0;0;0
"130002 ALVARAES";29;30;5;0;0;0;0;64
"130006 AMATURA";0;0;0;0;0;0;0;0
"130008 ANAMA";27;31;0;0;0;0;0;58
"130010 ANORI";77;189;8;0;0;0;0;274
"130014 APUI";180;155;33;0;0;0;14;382
"130020 ATALAIA DO NORTE";89;43;10;0;0;0;144;286
"130030 AUTAZES";46;97;26;0;0;0;183;352
"130040 BARCELOS";24;48;13;0;0;0;7;92
"130050 BARREIRINHA";110;69;28;0;0;0;0;207
"130060 BENJAMIN CONSTANT";126;185;26;0;0;0;42;379
"130063 BERURI";34;50;0;0;0;0;0;84
"130068 BOA VISTA DO RAMOS";44;20;15;0;0;0;0;79
"130070 BOCA DO ACRE";52;69;48;0;0;0;0;169
"130080 BORBA";723;872;60;0;0;0;277;1932
"130083 CAAPIRANGA";12;27;11;0;0;0;0;50
"130090 CANUTAMA";16;34;6;0;0;0;0;56
"130100 CARAUARI";212;207;38;0;0;0;0;457
"130110 CAREIRO";0;0;0;0;0;0;0;0
"130115 CAREIRO DA VARZEA";0;0;0;0;0;0;0;0
"130120 COARI";412;280;168;0;0;0;0;860
"130130 CODAJAS";165;86;18;0;0;0;0;269
"130140 EIRUNEPE";72;85;39;0;0;0;53;249
"130150 ENVIRA";26;54;7;0;0;0;25;112
"130160 FONTE BOA";50;149;15;0;0;0;0;214
"130165 GUAJARA";10;108;5;0;0;0;0;123
"130170 HUMAITA";90;117;22;0;0;0;0;229
"130180 IPIXUNA";22;38;12;0;0;0;0;72
"130185 IRANDUBA";47;97;9;0;0;0;0;153
"130190 ITACOATIARA";184;262;150;0;0;0;646;1242
"130195 ITAMARATI";56;91;0;0;0;0;0;147
"130200 ITAPIRANGA";39;92;10;0;0;0;0;141
"130210 JAPURA";0;0;0;0;0;0;0;0
"130220 JURUA";40;61;39;0;0;0;233;373
"130230 JUTAI";45;60;6;0;0;0;0;111
"130240 LABREA";143;195;15;0;0;0;0;353
"130250 MANACAPURU";155;268;89;0;0;0;0;512
"130255 MANAQUIRI";0;0;0;0;0;0;0;0
"130260 MANAUS";83617;30670;3654;0;75;1622;29575;149213
"130270 MANICORE";302;125;34;0;0;0;323;784
"130280 MARAA";184;67;19;0;0;0;258;528
"130290 MAUES";472;165;52;0;0;0;205;894
"130300 NHAMUNDA";0;0;0;0;0;0;0;0
"130310 NOVA OLINDA DO NORTE";305;84;37;0;0;0;345;771
"130320 NOVO AIRAO";0;0;0;0;0;0;0;0
"130330 NOVO ARIPUANA";524;372;6;0;0;0;15;917
"130340 PARINTINS";630;304;178;0;0;0;0;1112
"130350 PAUINI";236;100;11;0;0;0;0;347
"130353 PRESIDENTE FIGUEIREDO";753;838;57;0;0;0;65;1713
"130356 RIO PRETO DA EVA";34;106;31;0;0;0;0;171
"130360 SANTA ISABEL DO RIO NEGRO";82;58;3;0;0;0;0;143
"130370 SANTO ANTONIO DO ICA";0;0;0;0;0;0;0;0
"130380 SAO GABRIEL DA CACHOEIRA";58;74;22;0;0;0;222;376
"130390 SAO PAULO DE OLIVENCA";158;80;5;0;0;0;0;243
"130395 SAO SEBASTIAO DO UATUMA";51;19;8;0;0;0;70;148
"130400 SILVES";0;0;0;0;0;0;0;0
"130406 TABATINGA";0;0;0;0;0;0;0;0
"130410 TAPAUA";34;45;25;0;0;0;0;104
"130420 TEFE";150;255;91;0;0;0;0;496
"130423 TONANTINS";46;105;2;0;0;0;0;153
"130426 UARINI";10;24;0;0;0;0;0;34
"130430 URUCARA";153;71;11;0;0;0;267;502
"130440 URUCURITUBA";21;27;9;0;0;0;0;57
" MUNICIPIO IGNORADO - RR";0;0;0;0;0;0;0;0
"140002 AMAJARI";0;0;0;0;0;0;0;0
"140005 ALTO ALEGRE";57;192;0;0;0;0;0;249
"140010 BOA VISTA";10452;13996;424;0;18;0;330;25220
"140015 BONFIM";22;94;0;0;0;0;0;116
"140017 CANTA";0;0;0;0;0;0;0;0
"140020 CARACARAI";67;164;11;0;0;0;0;242
"140023 CAROEBE";3;141;0;0;0;0;0;144
"140028 IRACEMA";0;0;0;0;0;0;0;0
"140030 MUCAJAI";69;69;0;0;0;0;0;138
"140040 NORMANDIA";10;233;0;0;0;0;0;243
"140045 PACARAIMA";0;0;0;0;0;0;0;0
"140047 RORAINOPOLIS";72;139;0;0;0;0;0;211
"140050 SAO JOAO DA BALIZA";3;76;0;0;0;0;0;79
"140060 SAO LUIZ";29;157;0;0;0;0;0;186
"140070 UIRAMUTA";0;0;0;0;0;0;0;0
" MUNICIPIO IGNORADO - PA";0;0;0;0;0;0;0;0
"150010 ABAETETUBA";1682;3810;269;0;0;0;2446;8207
"150013 ABEL FIGUEIREDO";0;48;0;0;0;0;11;59
"150020 ACARA";261;667;61;0;0;0;109;1098
"150030 AFUA";16;96;0;0;0;0;0;112
"150034 AGUA AZUL DO NORTE";415;304;58;0;0;0;0;777
"150040 ALENQUER";115;375;135;0;0;0;680;1305
"150050 ALMEIRIM";536;318;52;0;0;0;263;1169
"150060 ALTAMIRA";5800;3929;602;0;2;8;1501;11842
"150070 ANAJAS";121;106;8;0;0;0;83;318
"150080 ANANINDEUA";24467;10839;1564;0;39;258;10612;47779
"150085 ANAPU";142;55;5;0;0;0;101;303
"150090 AUGUSTO CORREA";165;115;87;0;0;0;300;667
"150095 AURORA DO PARA";33;85;35;0;0;0;96;249
"150100 AVEIRO";0;0;0;0;0;0;0;0
"150110 BAGRE";0;0;0;0;0;0;0;0
"150120 BAIAO";263;420;50;0;0;0;153;886
"150125 BANNACH";0;0;0;0;0;0;0;0
"150130 BARCARENA";187;230;111;0;0;0;1078;1606
"150140 BELEM";72077;54066;5807;31;1336;1898;29591;164806
"150145 BELTERRA";167;77;0;0;0;0;0;244
"150150 BENEVIDES";59;263;11;0;0;0;524;857
"150157 BOM JESUS DO TOCANTINS";10;101;4;0;0;0;33;148
"150160 BONITO";0;0;0;0;0;0;0;0
"150170 BRAGANCA";6348;2457;353;0;0;12;2699;11869
"150172 BRASIL NOVO";32;192;54;0;0;0;720;998
"150175 BREJO GRANDE DO ARAGUAIA";6;35;5;0;0;0;0;46
"150178 BREU BRANCO";553;89;8;0;1;0;239;890
"150180 BREVES";830;1110;135;0;0;0;1528;3603
"150190 BUJARU";34;137;41;0;0;0;231;443
"150195 CACHOEIRA DO PIRIA";0;0;0;0;0;0;0;0
"150200 CACHOEIRA DO ARARI";19;103;5;0;0;0;0;127
"150210 CAMETA";1768;1153;182;0;0;0;1002;4105
"150215 CANAA DOS CARAJAS";260;155;8;0;0;0;0;423
"150220 CAPANEMA";2675;1234;257;0;0;0;1418;5584
"150230 CAPITAO POCO";577;385;106;0;0;0;542;1610
"150240 CASTANHAL";4254;7538;807;0;0;13;2668;15280
"150250 CHAVES";0;0;0;0;0;0;0;0
"150260 COLARES";0;0;0;0;0;0;0;0
"150270 CONCEICAO DO ARAGUAIA";404;830;87;0;0;0;239;1560
"150275 CONCORDIA DO PARA";198;105;2;0;0;0;0;305
"150276 CUMARU DO NORTE";0;0;0;0;0;0;0;0
"150277 CURIONOPOLIS";229;112;3;0;0;0;168;512
"150280 CURRALINHO";114;116;4;0;0;0;115;349
"150285 CURUA";0;0;0;0;0;0;0;0
"150290 CURUCA";0;0;0;0;0;0;0;0
"150293 DOM ELISEU";424;346;64;0;0;0;156;990
"150295 ELDORADO DOS CARAJAS";717;250;25;0;0;0;233;1225
"150300 FARO";0;0;0;0;0;0;0;0
"150304 FLORESTA DO ARAGUAIA";0;0;0;0;0;0;0;0
"150307 GARRAFAO DO NORTE";0;0;0;0;0;0;0;0
"150309 GOIANESIA DO PARA";271;161;73;0;0;0;160;665
"150310 GURUPA";258;104;3;0;0;0;128;493
"150320 IGARAPE-ACU";131;82;29;0;0;0;60;302
"150330 IGARAPE-MIRI";324;353;154;0;0;0;545;1376
"150340 INHANGAPI";0;0;0;0;0;0;0;0
"150345 IPIXUNA DO PARA";73;124;49;0;0;0;162;408
"150350 IRITUIA";77;113;0;0;0;0;0;190
"150360 ITAITUBA";605;778;151;0;0;0;851;2385
"150370 ITUPIRANGA";138;60;15;0;0;0;0;213
"150375 JACAREACANGA";71;19;6;0;0;0;0;96
"150380 JACUNDA";679;443;47;0;4;0;181;1354
"150390 JURUTI";128;84;31;0;0;0;208;451
"150400 LIMOEIRO DO AJURU";787;128;63;0;0;0;29;1007
"150405 MAE DO RIO";117;143;43;0;0;0;502;805
"150410 MAGALHAES BARATA";0;0;0;0;0;0;0;0
"150420 MARABA";2810;4377;662;0;0;70;3208;11127
"150430 MARACANA";0;3;0;0;0;0;0;3
"150440 MARAPANIM";91;42;0;0;0;0;10;143
"150442 MARITUBA";578;951;237;0;6;62;1151;2985
"150445 MEDICILANDIA";185;84;27;0;0;0;46;342
"150450 MELGACO";0;0;0;0;0;0;0;0
"150460 MOCAJUBA";211;77;39;0;0;0;180;507
"150470 MOJU";449;235;30;0;0;0;471;1185
"150475 MOJUI DOS CAMPOS";0;0;0;0;0;0;0;0
"150480 MONTE ALEGRE";1333;2128;69;0;0;0;495;4025
"150490 MUANA";439;480;21;0;0;0;50;990
"150495 NOVA ESPERANCA DO PIRIA";31;128;30;0;0;0;221;410
"150497 NOVA IPIXUNA";0;0;0;0;0;0;0;0
"150500 NOVA TIMBOTEUA";0;0;0;0;0;0;0;0
"150503 NOVO PROGRESSO";22;159;13;0;0;0;49;243
"150506 NOVO REPARTIMENTO";558;160;47;0;5;0;186;956
"150510 OBIDOS";73;248;51;0;0;0;580;952
"150520 OEIRAS DO PARA";73;129;2;0;0;0;33;237
"150530 ORIXIMINA";831;200;63;0;0;0;508;1602
"150540 OUREM";206;112;12;0;0;0;0;330
"150543 OURILANDIA DO NORTE";324;330;53;0;0;0;132;839
"150548 PACAJA";0;0;0;0;0;0;0;0
"150549 PALESTINA DO PARA";6;59;0;0;0;0;0;65
"150550 PARAGOMINAS";471;361;260;0;4;0;383;1479
"150553 PARAUAPEBAS";2393;2465;165;0;4;0;1267;6294
"150555 PAU D'ARCO";116;58;17;0;0;0;0;191
"150560 PEIXE-BOI";0;0;0;0;0;0;0;0
"150563 PICARRA";0;0;0;0;0;0;0;0
"150565 PLACAS";0;0;0;0;0;0;0;0
"150570 PONTA DE PEDRAS";2;15;0;0;0;0;0;17
"150580 PORTEL";126;112;20;0;0;0;230;488
"150590 PORTO DE MOZ";306;152;37;0;0;0;134;629
"150600 PRAINHA";130;209;7;0;0;0;21;367
"150610 PRIMAVERA";0;0;0;0;0;0;0;0
"150611 QUATIPURU";0;0;0;0;0;0;0;0
"150613 REDENCAO";3231;2065;296;0;31;79;1541;7243
"150616 RIO MARIA";22;145;20;0;0;0;0;187
"150618 RONDON DO PARA";66;464;84;0;0;0;335;949
"150619 RUROPOLIS";244;287;21;0;0;0;0;552
"150620 SALINOPOLIS";676;285;580;0;0;0;301;1842
"150630 SALVATERRA";22;77;4;0;0;0;0;103
"150635 SANTA BARBARA DO PARA";0;0;0;0;0;0;0;0
"150640 SANTA CRUZ DO ARARI";0;0;0;0;0;0;0;0
"150650 SANTA IZABEL DO PARA";56;319;64;0;0;0;567;1006
"150655 SANTA LUZIA DO PARA";0;0;0;0;0;0;0;0
"150658 SANTA MARIA DAS BARREIRAS";63;63;0;0;0;0;0;126
"150660 SANTA MARIA DO PARA";60;113;56;0;0;0;186;415
"150670 SANTANA DO ARAGUAIA";92;258;65;0;0;0;0;415
"150680 SANTAREM";7558;2008;554;0;10;69;3067;13266
"150690 SANTAREM NOVO";0;0;0;0;0;0;0;0
"150700 SANTO ANTONIO DO TAUA";118;284;12;0;0;0;520;934
"150710 SAO CAETANO DE ODIVELAS";0;0;0;0;0;0;0;0
"150715 SAO DOMINGOS DO ARAGUAIA";27;132;9;0;0;0;0;168
"150720 SAO DOMINGOS DO CAPIM";102;60;0;0;0;0;141;303
"150730 SAO FELIX DO XINGU";982;171;74;0;0;0;20;1247
"150740 SAO FRANCISCO DO PARA";0;0;0;0;0;0;0;0
"150745 SAO GERALDO DO ARAGUAIA";546;144;33;0;0;0;0;723
"150746 SAO JOAO DA PONTA";0;0;0;0;0;0;0;0
"150747 SAO JOAO DE PIRABAS";486;200;22;0;0;0;141;849
"150750 SAO JOAO DO ARAGUAIA";8;57;10;0;0;0;0;75
"150760 SAO MIGUEL DO GUAMA";267;99;24;0;0;0;186;576
"150770 SAO SEBASTIAO DA BOA VISTA";10;55;0;0;0;0;0;65
"150775 SAPUCAIA";0;0;0;0;0;0;0;0
"150780 SENADOR JOSE PORFIRIO";0;0;0;0;0;0;0;0
"150790 SOURE";0;11;0;0;0;0;0;11
"150795 TAILANDIA";71;203;1;0;0;0;0;275
"150796 TERRA ALTA";0;0;0;0;0;0;0;0
"150797 TERRA SANTA";46;226;15;0;0;0;152;439
"150800 TOME-ACU";693;217;100;0;0;0;232;1242
"150803 TRACUATEUA";0;0;0;0;0;0;0;0
"150805 TRAIRAO";34;59;14;0;0;0;0;107
"150808 TUCUMA";439;570;22;0;0;0;208;1239
"150810 TUCURUI";1048;385;261;0;17;0;887;2598
"150812 ULIANOPOLIS";383;224;60;0;0;0;188;855
"150815 URUARA";747;1084;70;0;0;0;0;1901
"150820 VIGIA";67;138;40;0;0;0;77;322
"150830 VISEU";525;560;23;0;0;0;368;1476
"150835 VITORIA DO XINGU";0;0;0;0;0;0;0;0
"150840 XINGUARA";144;220;57;0;0;0;0;421
" MUNICIPIO IGNORADO - AP";0;0;0;0;0;0;0;0
"160005 SERRA DO NAVIO";0;0;0;0;0;0;0;0
"160010 AMAPA";0;0;0;0;0;0;0;0
"160015 PEDRA BRANCA DO AMAPARI";0;0;0;0;0;0;0;0
"160020 CALCOENE";0;0;0;0;0;0;0;0
"160021 CUTIAS";0;0;0;0;0;0;0;0
"160023 FERREIRA GOMES";0;0;0;0;0;0;0;0
"160025 ITAUBAL";0;0;0;0;0;0;0;0
"160027 LARANJAL DO JARI";1454;937;38;0;0;0;343;2772
"160030 MACAPA";13947;19631;740;0;38;145;2950;37451
"160040 MAZAGAO";0;0;0;0;0;0;0;0
"160050 OIAPOQUE";276;474;46;0;0;0;5;801
"160053 PORTO GRANDE";77;206;1;0;0;0;17;301
"160055 PRACUUBA";0;0;0;0;0;0;0;0
"160060 SANTANA";2341;1641;147;0;0;0;666;4795
"160070 TARTARUGALZINHO";0;0;0;0;0;0;0;0
"160080 VITORIA DO JARI";0;0;0;0;0;0;0;0
" MUNICIPIO IGNORADO - TO";0;0;0;0;0;0;0;0
"170025 ABREULANDIA";0;0;0;0;0;0;0;0
"170030 AGUIARNOPOLIS";0;0;0;0;0;0;0;0
"170035 ALIANCA DO TOCANTINS";0;0;0;0;0;0;0;0
"170040 ALMAS";0;0;0;0;0;0;0;0
"170070 ALVORADA";0;0;0;0;0;0;0;0
"170100 ANANAS";87;50;10;0;0;0;13;160
"170105 ANGICO";0;0;0;0;0;0;0;0
"170110 APARECIDA DO RIO NEGRO";0;0;0;0;0;0;0;0
"170130 ARAGOMINAS";0;0;0;0;0;0;0;0
"170190 ARAGUACEMA";17;29;2;0;0;0;0;48
"170200 ARAGUACU";165;230;7;0;0;0;116;518
"170210 ARAGUAINA";19845;14786;2108;0;393;115;8754;46001
"170215 ARAGUANA";0;0;0;0;0;0;0;0
"170220 ARAGUATINS";130;189;16;0;0;0;20;355
"170230 ARAPOEMA";67;62;0;0;0;0;27;156
"170240 ARRAIAS";352;370;21;0;0;0;194;937
"170255 AUGUSTINOPOLIS";2122;1025;230;0;6;0;619;4002
"170270 AURORA DO TOCANTINS";0;0;0;0;0;0;0;0
"170290 AXIXA DO TOCANTINS";0;0;0;0;0;0;0;0
"170300 BABACULANDIA";0;0;0;0;0;0;0;0
"170305 BANDEIRANTES DO TOCANTINS";0;0;0;0;0;0;0;0
"170307 BARRA DO OURO";0;0;0;0;0;0;0;0
"170310 BARROLANDIA";0;0;0;0;0;0;0;0
"170320 BERNARDO SAYAO";0;0;0;0;0;0;0;0
"170330 BOM JESUS DO TOCANTINS";0;0;0;0;0;0;0;0
"170360 BRASILANDIA DO TOCANTINS";0;0;0;0;0;0;0;0
"170370 BREJINHO DE NAZARE";41;121;0;0;0;0;0;162
"170380 BURITI DO TOCANTINS";0;0;0;0;0;0;0;0
"170382 CACHOEIRINHA";0;0;0;0;0;0;0;0
"170384 CAMPOS LINDOS";0;0;0;0;0;0;0;0
"170386 CARIRI DO TOCANTINS";0;0;0;0;0;0;0;0
"170388 CARMOLANDIA";0;0;0;0;0;0;0;0
"170389 CARRASCO BONITO";0;0;0;0;0;0;0;0
"170390 CASEARA";0;0;0;0;0;0;0;0
"170410 CENTENARIO";0;0;0;0;0;0;0;0
"170460 CHAPADA DE AREIA";0;0;0;0;0;0;0;0
"170510 CHAPADA DA NATIVIDADE";0;0;0;0;0;0;0;0
"170550 COLINAS DO TOCANTINS";625;382;99;0;1;0;233;1340
"170555 COMBINADO";43;46;0;0;0;0;3;92
"170560 CONCEICAO DO TOCANTINS";0;0;0;0;0;0;0;0
"170600 COUTO MAGALHAES";0;0;0;0;0;0;0;0
"170610 CRISTALANDIA";0;40;0;0;0;0;0;40
"170625 CRIXAS DO TOCANTINS";0;0;0;0;0;0;0;0
"170650 DARCINOPOLIS";0;0;0;0;0;0;0;0
"170700 DIANOPOLIS";246;128;25;0;0;0;0;399
"170710 DIVINOPOLIS DO TOCANTINS";0;27;0;0;0;0;0;27
"170720 DOIS IRMAOS DO TOCANTINS";0;0;0;0;0;0;0;0
"170730 DUERE";0;0;0;0;0;0;0;0
"170740 ESPERANTINA";0;0;0;0;0;0;0;0
"170755 FATIMA";0;0;0;0;0;0;0;0
"170765 FIGUEIROPOLIS";17;20;0;0;0;0;29;66
"170770 FILADELFIA";0;0;0;0;0;0;0;0
"170820 FORMOSO DO ARAGUAIA";34;78;17;0;1;0;27;157
"170825 FORTALEZA DO TABOCAO";0;0;0;0;0;0;0;0
"170830 GOIANORTE";0;0;0;0;0;0;0;0
"170900 GOIATINS";0;0;0;0;0;0;0;0
"170930 GUARAI";745;233;135;0;2;0;285;1400
"170950 GURUPI";3867;2552;311;0;29;24;1082;7865
"170980 IPUEIRAS";0;0;0;0;0;0;0;0
"171050 ITACAJA";16;32;0;0;0;0;4;52
"171070 ITAGUATINS";0;37;0;0;0;0;0;37
"171090 ITAPIRATINS";0;0;0;0;0;0;0;0
"171110 ITAPORA DO TOCANTINS";0;0;0;0;0;0;0;0
"171150 JAU DO TOCANTINS";0;0;0;0;0;0;0;0
"171180 JUARINA";0;0;0;0;0;0;0;0
"171190 LAGOA DA CONFUSAO";0;12;0;0;0;0;0;12
"171195 LAGOA DO TOCANTINS";0;0;0;0;0;0;0;0
"171200 LAJEADO";0;0;0;0;0;0;0;0
"171215 LAVANDEIRA";0;0;0;0;0;0;0;0
"171240 LIZARDA";0;0;0;0;0;0;0;0
"171245 LUZINOPOLIS";0;0;0;0;0;0;0;0
"171250 MARIANOPOLIS DO TOCANTINS";0;0;0;0;0;0;0;0
"171270 MATEIROS";0;0;0;0;0;0;0;0
"171280 MAURILANDIA DO TOCANTINS";0;0;0;0;0;0;0;0
"171320 MIRACEMA DO TOCANTINS";632;937;80;0;0;1;538;2188
"171330 MIRANORTE";80;104;0;0;0;0;73;257
"171360 MONTE DO CARMO";1;11;0;0;0;0;0;12
"171370 MONTE SANTO DO TOCANTINS";0;0;0;0;0;0;0;0
"171380 PALMEIRAS DO TOCANTINS";0;0;0;0;0;0;0;0
"171395 MURICILANDIA";0;0;0;0;0;0;0;0
"171420 NATIVIDADE";12;16;0;0;0;0;0;28
"171430 NAZARE";13;14;0;0;0;0;0;27
"171488 NOVA OLINDA";0;0;0;0;0;0;0;0
"171500 NOVA ROSALANDIA";0;0;0;0;0;0;0;0
"171510 NOVO ACORDO";0;0;0;0;0;0;0;0
"171515 NOVO ALEGRE";0;0;0;0;0;0;0;0
"171525 NOVO JARDIM";0;0;0;0;0;0;0;0
"171550 OLIVEIRA DE FATIMA";0;0;0;0;0;0;0;0
"171570 PALMEIRANTE";0;0;0;0;0;0;0;0
"171575 PALMEIROPOLIS";23;49;1;0;0;0;35;108
"171610 PARAISO DO TOCANTINS";807;1161;270;0;5;25;674;2942
"171620 PARANA";12;30;0;0;0;0;0;42
"171630 PAU D'ARCO";0;0;0;0;0;0;0;0
"171650 PEDRO AFONSO";342;296;46;0;0;0;224;908
"171660 PEIXE";10;120;4;0;0;0;55;189
"171665 PEQUIZEIRO";0;0;0;0;0;0;0;0
"171670 COLMEIA";23;41;13;0;0;0;0;77
"171700 PINDORAMA DO TOCANTINS";0;0;0;0;0;0;0;0
"171720 PIRAQUE";0;0;0;0;0;0;0;0
"171750 PIUM";46;43;0;0;0;0;0;89
"171780 PONTE ALTA DO BOM JESUS";0;0;0;0;0;0;0;0
"171790 PONTE ALTA DO TOCANTINS";77;103;6;0;0;0;0;186
"171800 PORTO ALEGRE DO TOCANTINS";0;0;0;0;0;0;0;0
"171820 PORTO NACIONAL";1978;1514;350;0;8;23;1036;4909
"171830 PRAIA NORTE";0;0;0;0;0;0;0;0
"171840 PRESIDENTE KENNEDY";0;14;2;0;0;0;0;16
"171845 PUGMIL";0;0;0;0;0;0;0;0
"171850 RECURSOLANDIA";0;0;0;0;0;0;0;0
"171855 RIACHINHO";0;0;0;0;0;0;0;0
"171865 RIO DA CONCEICAO";0;0;0;0;0;0;0;0
"171870 RIO DOS BOIS";0;0;0;0;0;0;0;0
"171875 RIO SONO";0;0;0;0;0;0;0;0
"171880 SAMPAIO";0;0;0;0;0;0;0;0
"171884 SANDOLANDIA";0;0;0;0;0;0;0;0
"171886 SANTA FE DO ARAGUAIA";0;0;0;0;0;0;0;0
"171888 SANTA MARIA DO TOCANTINS";0;0;0;0;0;0;0;0
"171889 SANTA RITA DO TOCANTINS";0;0;0;0;0;0;0;0
"171890 SANTA ROSA DO TOCANTINS";0;0;0;0;0;0;0;0
"171900 SANTA TEREZA DO TOCANTINS";0;0;0;0;0;0;0;0
"172000 SANTA TEREZINHA DO TOCANTINS";0;0;0;0;0;0;0;0
"172010 SAO BENTO DO TOCANTINS";0;0;0;0;0;0;0;0
"172015 SAO FELIX DO TOCANTINS";0;0;0;0;0;0;0;0
"172020 SAO MIGUEL DO TOCANTINS";0;0;0;0;0;0;0;0
"172025 SAO SALVADOR DO TOCANTINS";0;0;0;0;0;0;0;0
"172030 SAO SEBASTIAO DO TOCANTINS";0;0;0;0;0;0;0;0
